species;genus;family;order;class;phylum;kingdom
Agrypon ambomum;Agrypon;Ichneumonidae;Hymenoptera;Insecta;Arthropoda;Animalia
Aigialus parvus;Aigialus;Aigialaceae;Pleosporales;Dothideomycetes;Ascomycota;Fungi
Aira provincialis;Aira;Poaceae;Poales;Liliopsida;Tracheophyta;Plantae
Akanthinotanais similis;Akanthinotanais;Pseudotanaidae;Tanaidacea;Malacostraca;Arthropoda;Animalia
Akelbaster novaecaledoniae;Akelbaster;Goniasteridae;Valvatida;Asteroidea;Echinodermata;Animalia
Akera maga;Akera;Akeridae;Aplysiida;Gastropoda;Mollusca;Animalia
Alainodaeus nuku;Alainodaeus;Xanthidae;Decapoda;Malacostraca;Arthropoda;Animalia
Albizia masikororum;Albizia;Fabaceae;Fabales;Magnoliopsida;Tracheophyta;Plantae
Albunea bulla;Albunea;Albuneidae;Decapoda;Malacostraca;Arthropoda;Animalia
Aleochara taeniata;Aleochara;Staphylinidae;Coleoptera;Insecta;Arthropoda;Animalia
Aleurodiscus piceinus;Aleurodiscus;Stereaceae;Russulales;Agaricomycetes;Basidiomycota;Fungi
Allaegopis transiens;Allaegopis;Zonitidae;Stylommatophora;Gastropoda;Mollusca;Animalia
Allium hissaricum;Allium;Amaryllidaceae;Asparagales;Liliopsida;Tracheophyta;Plantae
Allium kirindicum;Allium;Amaryllidaceae;Asparagales;Liliopsida;Tracheophyta;Plantae
Allium kysylkumi;Allium;Amaryllidaceae;Asparagales;Liliopsida;Tracheophyta;Plantae
Allium majus;Allium;Amaryllidaceae;Asparagales;Liliopsida;Tracheophyta;Plantae
Allobracon chloripes;Allobracon;Braconidae;Hymenoptera;Insecta;Arthropoda;Animalia
Allocapnia mohri;Allocapnia;Capniidae;Plecoptera;Insecta;Arthropoda;Animalia
Allodiastylis acanthodes;Allodiastylis;Gynodiastylidae;Cumacea;Malacostraca;Arthropoda;Animalia
Allopauropus bituberatus;Allopauropus;Pauropodidae;Tetramerocerata;Pauropoda;Arthropoda;Animalia
Alluaudia montagnacii;Alluaudia;Didiereaceae;Caryophyllales;Magnoliopsida;Tracheophyta;Plantae
Alpaida veniliae;Alpaida;Araneidae;Araneae;Arachnida;Arthropoda;Animalia
Alpheus superciliaris;Alpheus;Alpheidae;Decapoda;Malacostraca;Arthropoda;Animalia
